Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Mystical Sand	AP01	MysticalSand	Rock/Fusion	Earth	6	2100	1700			"Giant Soldier of Stone" + "Ancient Elf"
Bone Crusher	GLD5	BoneCrusher1	Zombie/Effect	Earth	4	1600	200			When this card is Special Summoned from your Graveyard by the effect of a Zombie-Type monster: You can target 1 Spell/Trap Card your opponent controls; destroy that target. During the End Phase of the turn this card was Special Summoned: Destroy it.
Book of Life	GLD5	BookofLife1	Normal Spell							Target 1 Zombie-Type monster in your Graveyard and 1 monster in your opponent's Graveyard; Special Summon the first target, also banish the second target.
Brionac, Dragon of the Ice Barrier	GLD5	BrionacDragonoftheIceBarrier1	Sea Serpent/Synchro/Effect	Water	6	2300	1400		A0/T1	1 Tuner + 1 or more non-Tuner monsters. You can discard any number of cards to the Graveyard to target the same number of cards on the field; return those targets to the hand.
Call of the Mummy	GLD5	CalloftheMummy1	Continuous Spell							Once per turn: You can Special Summon 1 Zombie-Type monster from your hand. You must control no monsters to activate and to resolve this effect.
Copy Knight	GLD5	CopyKnight1	Continuous Trap							When a Level 4 or lower Warrior-Type monster is Normal Summoned to your side of the field: Special Summon this card as a Normal Monster with the same name and Level as the Normal Summoned monster (Warrior-Type/LIGHT/ATK 0/DEF 0). (This card is also still a Trap Card.)
Dark Mimic LV1	GLD5	DarkMimicLV11	Fiend/Effect	Dark	1	100	1000			FLIP: Draw 1 card. During your Standby Phase: You can send this face-up card to the Graveyard; Special Summon 1 "Dark Mimic LV3" from your hand or Deck.
Dark Mimic LV3	GLD5	DarkMimicLV31	Fiend/Effect	Dark	3	1000	1000			If this card is destroyed by battle and sent to the Graveyard: Draw 1 card, but if this card was Special Summoned by the effect of "Dark Mimic LV1", draw 2 cards instead.
Dark Scorpion - Chick the Yellow	GLD5	DarkScorpionChicktheYellow1	Warrior/Effect	Dark	3	1000	1000			When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects: *Target 1 card on the field; return that target to the hand. *Look at the top card of their Deck, then return it to the top or bottom of the Deck.
Dark Scorpion - Cliff the Trap Remover	GLD5	DarkScorpionClifftheTrapRemover	Warrior/Effect	Dark	3	1200	1000			When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects: *Target 1 Spell/Trap Card on the field; destroy that target. *Send the top 2 cards of their Deck to the Graveyard.
Dark Scorpion - Gorg the Strong	GLD5	DarkScorpionGorgtheStrong1	Warrior/Effect	Dark	5	1800	1500			When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects: *Target 1 monster your opponent controls; return that target to the top of the Deck. *Send the top card of their Deck to the Graveyard.
