Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Amphibious Bugroth	MDP2	AmphibiousBugroth	Aqua/Fusion	Water	5	1850	1300			Ground Attacker Bugroth + "Sentinel of the Sea"
Aqua Dragon	MDP2	AquaDragon	Sea Serpent/Fusion	Water	6	2250	1900			Fairy Dragon + "Amazon of the Seas" + "Zone Eater"
Dungeon Worm	MDP2	DungeonWorm	Insect	Earth	5	1800	1500			Hidden under the floors of a labyrinth, it swallows any who pass above.
Flame Viper	MDP2	FlameViper	Pyro	Earth	2	400	450			A fire-breathing snake whose speed makes it a difficult target.
Gokibore	MDP2	Gokibore	Insect	Earth	4	1200	1400			A large, spherical roach that attacks its enemies by rolling over them.
Kaiser Dragon	MDP2	KaiserDragon	Dragon/Fusion	Light	7	2300	2000			Winged Dragon, Guardian of the Fortress #1 + "Fairy Dragon"
La Jinn the Mystical Genie of the Lamp	MDP2	LaJinntheMysticalGenieoftheLamp	Fiend	Dark	4	1800	1000			A genie of the lamp that's at the beck and call of its master.
Metal Guardian	MDP2	MetalGuardian	Fiend	Dark	5	1150	2150			A fiend guarding the treasures of the netherworld, it's most at home in the dark.
Moon Envoy	MDP2	MoonEnvoy	Warrior	Light	4	1100	1000			Many have fallen victim to this lunar warrior's crescent pike.
Pragtical	MDP2	Pragtical	Dinosaur/Fusion	Earth	5	1900	1500			Trakodon + "Flame Viper"
Stone Dragon	MDP2	StoneDragon	Rock	Earth	7	2000	2300			A dragon formed by huge boulders that are also used to attack the enemy.
Trakodon	MDP2	Trakodon	Dinosaur	Earth	3	1300	800			A tiger-striped dragon that is often seen racing across the wasteland at tremendous speeds.
Zone Eater	MDP2	ZoneEater	Aqua/Effect	Water	1	250	200			A Monster attacked by this card will be destroyed during the End Phase of the 5th turn after the attack.
Battle Warrior	NUMH	BattleWarrior	Warrior	Earth	3	700	1000			A warrior that fights with his bare hands!!!
Battlecruiser Dianthus	NUMH	BattlecruiserDianthus	Plant/Xyz/Effect	Earth	*3	2100	1800			3 Level 3 monsters. You can detach 1 Xyz Material from this card; inflict 200 damage to your opponent for each card in their hand. You can only use the effect of "Battlecruiser Dianthus" once per turn.
Blue Mountain Butterspy	NUMH	BlueMountainButterspy	Warrior/Effect	Dark	4	0	1700			Cannot be Normal Summoned/Set. When you Normal Summon a Warrior-Type monster: You can Special Summon this card from your hand. This card cannot be used as a Synchro Material Monster.
Box of Friends	NUMH	BoxofFriends	Machine/Effect	Light	1	0	0			If this card is destroyed and sent to the Graveyard: You can Special Summon from your Deck, 2 Normal Monsters with different names whose ATK or DEF is 0, in face-up Defense Position. You can only use this effect of "Box of Friends" once per turn. Monsters Special Summoned by this effect cannot be used as a Synchro Material Monster, also they are destroyed during your next End Phase.
Butterspy Protection	NUMH	ButterspyProtection	Normal Trap							Target 1 face-up Attack Position monster on the field; change it to face-up Defense Position. Any damage you take for the rest of the turn is halved.
Chakra	NUMH	Chakra	Fiend/Ritual	Dark	7	2450	2000			You can Ritual Summon this card with "Resurrection of Chakra".
Chronomaly Aztec Mask Golem	NUMH	ChronomalyAztecMaskGolem	Rock/Effect	Earth	4	1500	1000			During your turn, if you have activated a "Chronomaly" Spell Card previously this turn, you can Special Summon this card (from your hand). You can only control 1 "Chronomaly Aztec Mask Golem".
Chronomaly Cabrera Trebuchet	NUMH	ChronomalyCabreraTrebuchet	Rock/Effect	Earth	4	0	1800			Once per turn: You can Tribute 1 other "Chronomaly" monster, then target 1 face-up monster your opponent controls; its ATK becomes 0 until the End Phase.
Chronomaly Mud Golem	NUMH	ChronomalyMudGolem	Rock/Effect	Earth	4	1700	1000			If a "Chronomaly" monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent.
Chronomaly Sol Monolith	NUMH	ChronomalySolMonolith	Rock/Effect	Earth	6	600	600			Once per turn: You can target 1 "Chronomaly" monster you control; its Level becomes 6. You cannot Special Summon any monsters during the turn you activate this effect, except "Chronomaly" monsters.
Coach King Giantrainer	NUMH	CoachKingGiantrainer	Warrior/Xyz/Effect	Fire	*8	2800	2000			3 Level 8 monsters. You can detach 1 Xyz Material from this card; draw 1 card and reveal it, then if it was a monster, inflict 800 damage to your opponent. You cannot conduct your Battle Phase the turn you activate this effect. You can use the effect of "Coach King Giantrainer" up to thrice per turn.
Comics Hero King Arthur	NUMH	ComicsHeroKingArthur	Warrior/Xyz/Effect	Earth	*4	2400	1200			2 Level 4 Warrior-Type monsters. If this card would be destroyed by battle, you can detach 1 Xyz Material from this card instead. When you do: It gains 500 ATK, and if it does, inflict 500 damage to your opponent.
CXyz Battleship Cherry Blossom	NUMH	CXyzBattleshipCherryBlossom	Plant/Xyz/Effect	Earth	*4	2400	2000			4 Level 4 monsters. Once per turn, during your opponent's End Phase, if your opponent has more cards in their hand than you do: They discard 1 card. If this card has "Battlecruiser Dianthus" as an Xyz Material, it gains this effect. *You can detach 1 Xyz Material from this card; inflict 300 damage to your opponent for each card on the field. You can only use this effect of "CXyz Battleship Cherry Blossom" once per turn.
CXyz Coach Lord Ultimatrainer	NUMH	CXyzCoachLordUltimatrainer	Warrior/Xyz/Effect	Fire	*9	3800	2300			4 Level 9 monsters. This card cannot be targeted by card effects. If this card has an Xyz Monster as an Xyz Material, it gains this effect. *Once per turn: You can detach 1 Xyz Material from this card; draw 1 card and reveal it, then if it was a monster, inflict 800 damage to your opponent.
CXyz Comics Hero Legend Arthur	NUMH	CXyzComicsHeroLegendArthur	Warrior/Xyz/Effect	Earth	*5	3000	2400			3 Level 5 monsters. Once per turn, this card cannot be destroyed by battle. If this card has "Comics Hero King Arthur" as an Xyz Material, it gains this effect. *When this card destroys a monster by battle and sends it to the Graveyard: You can detach 1 Xyz Material from this card; banish the destroyed monster, and if you do, inflict damage to your opponent equal to its original ATK.
CXyz Mechquipped Djinn Angeneral	NUMH	CXyzMechquippedDjinnAngeneral	Fairy/Xyz/Effect	Dark	*4	2600	1600			3 Level 4 monsters. When this card is Xyz Summoned: You can target 1 Defense Position monster on the field; change that target to face-up Attack Position. If this card has "Mechquipped Angineer" as an Xyz Material, it gains this effect. *When this card inflicts battle damage to your opponent: You can detach 1 Xyz Material from this card; inflict 1000 damage to your opponent.
